t/s	x/m	y/m
11,08	-0,597	11,352
11,10	-0,673	11,364
11,12	-0,748	11,376
11,14	-0,825	11,388
11,16	-0,901	11,400
11,18	-0,978	11,412
11,20	-1,055	11,424
11,22	-1,133	11,435
11,24	-1,211	11,447
11,26	-1,289	11,459
11,28	-1,368	11,471
11,30	-1,447	11,483
11,32	-1,526	11,495
11,34	-1,606	11,507
11,36	-1,685	11,518
11,38	-1,766	11,530
11,40	-1,846	11,542
11,42	-1,927	11,554
11,44	-2,009	11,565
11,46	-2,090	11,577
11,48	-2,172	11,589
11,50	-2,254	11,600
11,52	-2,337	11,612
11,54	-2,420	11,624
11,56	-2,503	11,635
11,58	-2,587	11,647
11,60	-2,671	11,658
11,62	-2,756	11,670
11,64	-2,840	11,681
11,66	-2,925	11,693
11,68	-3,011	11,704
11,70	-3,096	11,716
11,72	-3,182	11,727
11,74	-3,269	11,739
11,76	-3,356	11,750
11,78	-3,443	11,762
11,80	-3,530	11,773
11,82	-3,618	11,785
11,84	-3,706	11,796
11,86	-3,795	11,807
11,88	-3,884	11,819
11,90	-3,973	11,830
11,92	-4,062	11,841
11,94	-4,152	11,852
11,96	-4,242	11,864
11,98	-4,333	11,875
12,00	-4,424	11,886
12,02	-4,515	11,897
12,04	-4,607	11,909
12,06	-4,699	11,920
12,08	-4,791	11,931
12,10	-4,884	11,942
12,12	-4,977	11,953
12,14	-5,070	11,964
12,16	-5,164	11,975
12,18	-5,258	11,986
12,20	-5,353	11,997
12,22	-5,448	12,008
12,24	-5,543	12,019
12,26	-5,638	12,030
12,28	-5,734	12,041
12,30	-5,830	12,052
12,32	-5,927	12,063
12,34	-6,024	12,074
12,36	-6,121	12,085
12,38	-6,219	12,096
12,40	-6,317	12,107
12,42	-6,415	12,118
12,44	-6,514	12,129
12,46	-6,613	12,140
12,48	-6,713	12,150
12,50	-6,812	12,161
12,52	-6,913	12,172
12,54	-7,013	12,183
12,56	-7,114	12,193
12,58	-7,215	12,204
12,60	-7,317	12,215
12,62	-7,419	12,226
12,64	-7,521	12,236
12,66	-7,624	12,247
12,68	-7,727	12,258
12,70	-7,831	12,268
12,72	-7,934	12,279
12,74	-8,039	12,289
12,76	-8,143	12,300
12,78	-8,248	12,311
12,80	-8,353	12,321
12,82	-8,459	12,332
12,84	-8,565	12,342
12,86	-8,671	12,353
12,88	-8,778	12,363
12,90	-8,885	12,374
12,92	-8,992	12,384
12,94	-9,100	12,394
12,96	-9,208	12,405
12,98	-9,317	12,415
13,00	-9,426	12,426
13,02	-9,535	12,436
13,04	-9,645	12,446
13,06	-9,755	12,457
13,08	-9,865	12,467
13,10	-9,976	12,477
13,12	-10,087	12,487
13,14	-10,199	12,498
13,16	-10,311	12,508
13,18	-10,423	12,518
13,20	-10,536	12,528
13,22	-10,649	12,539
13,24	-10,762	12,549
13,26	-10,876	12,559
13,28	-10,990	12,569
13,30	-11,105	12,579
13,32	-11,219	12,589
13,34	-11,335	12,599
13,36	-11,450	12,609
13,38	-11,566	12,620
13,40	-11,683	12,630
13,42	-11,800	12,640
13,44	-11,917	12,650
13,46	-12,034	12,660
13,48	-12,152	12,670
13,50	-12,270	12,680
13,52	-12,389	12,690
13,54	-12,508	12,699
13,56	-12,628	12,709
13,58	-12,747	12,719
13,60	-12,868	12,729
13,62	-12,988	12,739
13,64	-13,109	12,749
13,66	-13,231	12,759
13,68	-13,352	12,768
13,70	-13,474	12,778
13,72	-13,597	12,788
13,74	-13,720	12,798
13,76	-13,843	12,808
13,78	-13,967	12,817
13,80	-14,091	12,827
13,82	-14,215	12,837
13,84	-14,340	12,846
13,86	-14,465	12,856
13,88	-14,591	12,866
13,90	-14,716	12,875
13,92	-14,843	12,885
13,94	-14,970	12,895
13,96	-15,097	12,904
13,98	-15,224	12,914
14,00	-15,352	12,923
14,02	-15,480	12,933
14,04	-15,609	12,942
14,06	-15,738	12,952
14,08	-15,867	12,961
14,10	-15,997	12,971
14,12	-16,127	12,980
14,14	-16,258	12,990
14,16	-16,389	12,999
14,18	-16,521	13,009
14,20	-16,652	13,018
14,22	-16,784	13,027
14,24	-16,917	13,037
14,26	-17,050	13,046
14,28	-17,183	13,055
14,30	-17,317	13,065
14,32	-17,451	13,074
14,34	-17,586	13,083
14,36	-17,721	13,093
14,38	-17,856	13,102
14,40	-17,992	13,111
14,42	-18,128	13,120
